"","cell","year"
"1435",7722,2015
"1436",8027,2015
"1437",8028,2015
"1438",8026,2017
"1439",8027,2017
"1440",8027,2018
"1441",8027,2022
"1442",8027,2023
"1443",7722,2020
"1444",8028,2020
"1445",8029,2013
"1446",7727,2010
"1447",8033,2010
"1448",7726,2024
"1449",7727,2024
"1450",8032,2024
"1451",8033,2024
"1452",8034,2010
"1453",8034,2011
"1454",8033,2012
"1455",8034,2012
"1456",8339,2012
"1457",8340,2012
"1458",8033,2014
"1459",8034,2014
"1460",8339,2014
"1461",8340,2014
"1462",8034,2015
"1463",8033,2016
"1464",8034,2016
"1465",8339,2016
"1466",8340,2016
"1467",8034,2017
"1468",8033,2021
"1469",8034,2021
"1470",8033,2022
"1471",8034,2022
"1472",8339,2022
"1473",8340,2022
"1474",8034,2024
"1475",8038,2015
"1476",7732,2016
"1477",7733,2016
"1478",8038,2016
"1479",8039,2016
"1480",8038,2018
"1481",8038,2019
"1482",8039,2019
"1483",8344,2019
"1484",8345,2019
"1485",8038,2022
"1486",8038,2023
"1487",7732,2024
"1488",7733,2024
"1489",8038,2024
"1490",8039,2024
"1491",8078,2024
"1492",8079,2024
"1493",8080,2024
"1494",8081,2024
"1495",8082,2014
"1496",8083,2014
"1497",8086,2018
"1498",8087,2018
"1499",8086,2021
"1500",8086,2024
"1501",8087,2024
"1502",8086,2023
"1503",8087,2023
"1504",8087,2014
"1505",8088,2014
"1506",8088,2019
"1507",8089,2019
"1508",8090,2024
"1509",8091,2024
"1510",8097,2024
"1511",8403,2024
